CATH FunFam ID,CATH Family,Functional Family
1.20.1070.10.FF45522,1.20.1070.10,FF45522
1.10.630.10.FF29337,1.10.630.10,FF29337
3.40.850.10.FF4688,3.40.850.10,FF4688
3.30.420.40.FF78964,3.30.420.40,FF78964
3.30.420.40.FF78830,3.30.420.40,FF78830
3.90.70.10.FF17058,3.90.70.10,FF17058
1.10.510.10.FF78745,1.10.510.10,FF78745
1.10.510.10.FF78758,1.10.510.10,FF78758
1.10.10.10.FF264994,1.10.10.10,FF264994
3.30.500.10.FF3475,3.30.500.10,FF3475
1.20.1070.10.FF45381,1.20.1070.10,FF45381
1.10.510.10.FF79093,1.10.510.10,FF79093
1.20.1070.10.FF45459,1.20.1070.10,FF45459
1.20.1070.10.FF45564,1.20.1070.10,FF45564
3.40.50.300.FF627204,3.40.50.300,FF627204
2.60.40.10.FF133345,2.60.40.10,FF133345
3.40.605.10.FF21376,3.40.605.10,FF21376
3.40.50.2000.FF97203,3.40.50.2000,FF97203
3.40.50.2000.FF97317,3.40.50.2000,FF97317
1.20.1070.10.FF45636,1.20.1070.10,FF45636
1.10.287.70.FF16849,1.10.287.70,FF16849
3.40.50.1820.FF115121,3.40.50.1820,FF115121
2.40.100.10.FF7135,2.40.100.10,FF7135
3.90.190.10.FF11472,3.90.190.10,FF11472
3.40.1110.10.FF15491,3.40.1110.10,FF15491
1.10.510.10.FF79298,1.10.510.10,FF79298
1.10.418.10.FF4782,1.10.418.10,FF4782
3.40.50.300.FF629994,3.40.50.300,FF629994
3.30.420.40.FF21170,3.30.420.40,FF21170
1.20.1560.10.FF26651,1.20.1560.10,FF26651
3.40.1500.10.FF948,3.40.1500.10,FF948
2.10.90.10.FF2838,2.10.90.10,FF2838
1.10.510.10.FF78946,1.10.510.10,FF78946
3.20.20.190.FF7559,3.20.20.190,FF7559
2.60.120.10.FF54809,2.60.120.10,FF54809
3.20.20.70.FF120721,3.20.20.70,FF120721
1.20.5.170.FF18190,1.20.5.170,FF18190
3.30.497.10.FF4990,3.30.497.10,FF4990
3.40.50.200.FF10195,3.40.50.200,FF10195
3.30.2410.10.FF1877,3.30.2410.10,FF1877
1.20.1250.20.FF180946,1.20.1250.20,FF180946
1.10.510.10.FF78743,1.10.510.10,FF78743
1.10.287.70.FF16801,1.10.287.70,FF16801
3.60.21.10.FF29344,3.60.21.10,FF29344
1.10.510.10.FF78761,1.10.510.10,FF78761
3.90.190.10.FF11605,3.90.190.10,FF11605
1.10.565.10.FF5096,1.10.565.10,FF5096
1.20.1250.20.FF180590,1.20.1250.20,FF180590
3.40.50.300.FF634947,3.40.50.300,FF634947
1.10.510.10.FF79375,1.10.510.10,FF79375
2.160.10.10.FF81649,2.160.10.10,FF81649
3.30.70.1390.FF1644,3.30.70.1390,FF1644
1.10.287.90.FF4753,1.10.287.90,FF4753
3.40.50.300.FF629966,3.40.50.300,FF629966
1.10.287.950.FF25887,1.10.287.950,FF25887
1.10.1300.10.FF1262,1.10.1300.10,FF1262
1.10.510.10.FF78768,1.10.510.10,FF78768
3.30.710.10.FF13753,3.30.710.10,FF13753
3.40.50.300.FF159011,3.40.50.300,FF159011
1.20.5.110.FF5775,1.20.5.110,FF5775
1.10.287.70.FF16627,1.10.287.70,FF16627
3.20.20.80.FF52966,3.20.20.80,FF52966
1.20.1560.10.FF26709,1.20.1560.10,FF26709
1.10.167.10.FF1811,1.10.167.10,FF1811
1.10.10.10.FF264144,1.10.10.10,FF264144
1.10.238.10.FF32897,1.10.238.10,FF32897
2.60.40.420.FF23893,2.60.40.420,FF23893
1.10.2000.10.FF1020,1.10.2000.10,FF1020
3.40.50.300.FF628382,3.40.50.300,FF628382
1.20.80.10.FF2751,1.20.80.10,FF2751
3.40.309.10.FF17530,3.40.309.10,FF17530
2.70.150.10.FF9808,2.70.150.10,FF9808
3.40.50.300.FF630265,3.40.50.300,FF630265
1.10.287.70.FF16892,1.10.287.70,FF16892
3.40.50.980.FF70439,3.40.50.980,FF70439
3.40.50.300.FF627197,3.40.50.300,FF627197
1.10.540.10.FF15764,1.10.540.10,FF15764
3.30.420.40.FF78669,3.30.420.40,FF78669
3.30.420.40.FF77117,3.30.420.40,FF77117
3.90.640.10.FF8098,3.90.640.10,FF8098
3.40.50.300.FF628018,3.40.50.300,FF628018
1.20.1110.10.FF14665,1.20.1110.10,FF14665
1.10.1070.11.FF1687,1.10.1070.11,FF1687
2.60.40.1400.FF477,2.60.40.1400,FF477
1.10.510.10.FF79235,1.10.510.10,FF79235
3.90.70.10.FF17160,3.90.70.10,FF17160
1.10.510.10.FF78730,1.10.510.10,FF78730
3.30.420.40.FF33256,3.30.420.40,FF33256
3.30.1010.10.FF1841,3.30.1010.10,FF1841
1.10.510.10.FF78985,1.10.510.10,FF78985
3.40.190.10.FF202945,3.40.190.10,FF202945
3.40.50.300.FF633046,3.40.50.300,FF633046
2.60.40.10.FF135943,2.60.40.10,FF135943
3.40.50.450.FF9503,3.40.50.450,FF9503
2.40.170.20.FF26209,2.40.170.20,FF26209
3.30.497.10.FF4980,3.30.497.10,FF4980
1.10.510.10.FF78763,1.10.510.10,FF78763
1.20.5.930.FF459,1.20.5.930,FF459
2.10.90.10.FF2754,2.10.90.10,FF2754
3.40.50.300.FF630778,3.40.50.300,FF630778
3.30.710.10.FF13792,3.30.710.10,FF13792
1.20.1070.10.FF45452,1.20.1070.10,FF45452
1.10.510.10.FF78738,1.10.510.10,FF78738
1.10.510.10.FF79224,1.10.510.10,FF79224
2.160.10.10.FF80689,2.160.10.10,FF80689
1.20.1070.10.FF45613,1.20.1070.10,FF45613
3.40.50.10810.FF9053,3.40.50.10810,FF9053
2.160.10.10.FF73405,2.160.10.10,FF73405
1.10.510.10.FF78684,1.10.510.10,FF78684
3.90.70.10.FF17149,3.90.70.10,FF17149
3.90.70.10.FF17103,3.90.70.10,FF17103
3.40.47.10.FF52485,3.40.47.10,FF52485
1.20.1070.10.FF45700,1.20.1070.10,FF45700
3.30.730.10.FF1969,3.30.730.10,FF1969
3.40.50.300.FF633341,3.40.50.300,FF633341
1.10.220.20.FF754,1.10.220.20,FF754
3.40.50.2300.FF151167,3.40.50.2300,FF151167
1.10.3080.10.FF3035,1.10.3080.10,FF3035
3.40.50.300.FF629962,3.40.50.300,FF629962
1.10.472.10.FF9852,1.10.472.10,FF9852
3.60.20.10.FF15796,3.60.20.10,FF15796
3.30.60.20.FF5564,3.30.60.20,FF5564
1.10.510.10.FF79169,1.10.510.10,FF79169
1.10.287.70.FF16818,1.10.287.70,FF16818
1.10.287.70.FF1972,1.10.287.70,FF1972
2.60.40.820.FF644,2.60.40.820,FF644
3.40.930.10.FF4542,3.40.930.10,FF4542
2.120.10.30.FF33068,2.120.10.30,FF33068
2.70.170.10.FF2370,2.70.170.10,FF2370
3.30.30.30.FF3909,3.30.30.30,FF3909
1.20.1250.10.FF8239,1.20.1250.10,FF8239
1.20.120.80.FF3160,1.20.120.80,FF3160
3.40.50.2000.FF97136,3.40.50.2000,FF97136
2.60.34.10.FF3656,2.60.34.10,FF3656
3.40.50.800.FF9424,3.40.50.800,FF9424
2.60.120.380.FF4707,2.60.120.380,FF4707
3.40.390.10.FF13247,3.40.390.10,FF13247
3.20.20.100.FF15056,3.20.20.100,FF15056
3.40.50.300.FF627923,3.40.50.300,FF627923
1.25.10.10.FF69031,1.25.10.10,FF69031
3.40.50.720.FF292262,3.40.50.720,FF292262
1.10.630.10.FF29314,1.10.630.10,FF29314
1.10.10.10.FF265036,1.10.10.10,FF265036
3.40.50.150.FF135445,3.40.50.150,FF135445
1.20.5.170.FF18295,1.20.5.170,FF18295
1.20.58.390.FF2652,1.20.58.390,FF2652
3.40.1110.10.FF15480,3.40.1110.10,FF15480
2.160.10.10.FF81885,2.160.10.10,FF81885
3.60.20.10.FF15813,3.60.20.10,FF15813
1.10.10.60.FF124216,1.10.10.60,FF124216
1.10.510.10.FF79007,1.10.510.10,FF79007
3.40.50.300.FF628430,3.40.50.300,FF628430
1.20.900.10.FF3381,1.20.900.10,FF3381
2.60.40.10.FF136068,2.60.40.10,FF136068
3.40.50.970.FF36536,3.40.50.970,FF36536
1.10.10.10.FF266614,1.10.10.10,FF266614
3.40.50.300.FF633352,3.40.50.300,FF633352
3.30.50.10.FF4290,3.30.50.10,FF4290
1.20.120.350.FF4198,1.20.120.350,FF4198
3.40.50.300.FF633777,3.40.50.300,FF633777
1.20.1270.10.FF5372,1.20.1270.10,FF5372
4.10.280.10.FF5786,4.10.280.10,FF5786
3.30.70.330.FF43574,3.30.70.330,FF43574
3.40.50.2000.FF97192,3.40.50.2000,FF97192
3.30.40.10.FF60994,3.30.40.10,FF60994
3.40.50.300.FF633480,3.40.50.300,FF633480
3.30.70.1230.FF5743,3.30.70.1230,FF5743
3.40.50.300.FF632367,3.40.50.300,FF632367
1.10.260.40.FF46950,1.10.260.40,FF46950
2.30.42.10.FF24100,2.30.42.10,FF24100
2.40.50.40.FF8841,2.40.50.40,FF8841
2.10.110.10.FF6106,2.10.110.10,FF6106
1.10.510.10.FF79013,1.10.510.10,FF79013
2.70.160.11.FF1304,2.70.160.11,FF1304
3.30.830.10.FF16678,3.30.830.10,FF16678
1.20.140.10.FF16374,1.20.140.10,FF16374
3.10.200.10.FF1430,3.10.200.10,FF1430
1.10.287.70.FF17009,1.10.287.70,FF17009
2.60.40.200.FF2096,2.60.40.200,FF2096
1.20.210.10.FF1527,1.20.210.10,FF1527
2.20.70.10.FF4651,2.20.70.10,FF4651
3.40.50.300.FF630744,3.40.50.300,FF630744
3.40.30.10.FF80093,3.40.30.10,FF80093
3.30.70.1230.FF5760,3.30.70.1230,FF5760
1.25.10.10.FF69176,1.25.10.10,FF69176
1.10.3430.10.FF3434,1.10.3430.10,FF3434
1.10.3860.10.FF3171,1.10.3860.10,FF3171
2.70.150.10.FF9878,2.70.150.10,FF9878
1.10.555.10.FF3968,1.10.555.10,FF3968
3.40.50.300.FF633410,3.40.50.300,FF633410
1.10.390.10.FF5143,1.10.390.10,FF5143
2.40.40.20.FF9846,2.40.40.20,FF9846
3.10.50.10.FF1756,3.10.50.10,FF1756
2.60.40.10.FF137101,2.60.40.10,FF137101
3.40.800.20.FF2855,3.40.800.20,FF2855
3.40.190.10.FF203236,3.40.190.10,FF203236
3.90.70.10.FF17143,3.90.70.10,FF17143
2.170.270.10.FF5100,2.170.270.10,FF5100
3.40.50.20.FF15621,3.40.50.20,FF15621
3.40.50.1820.FF115488,3.40.50.1820,FF115488
3.40.30.10.FF79844,3.40.30.10,FF79844
2.80.10.50.FF13311,2.80.10.50,FF13311
1.10.10.60.FF124590,1.10.10.60,FF124590
3.40.367.20.FF1728,3.40.367.20,FF1728
1.10.287.70.FF16912,1.10.287.70,FF16912
3.30.420.40.FF79206,3.30.420.40,FF79206
3.40.20.10.FF5538,3.40.20.10,FF5538
2.60.40.10.FF2939,2.60.40.10,FF2939
2.130.10.10.FF103486,2.130.10.10,FF103486
3.90.230.10.FF9119,3.90.230.10,FF9119
1.10.238.10.FF32830,1.10.238.10,FF32830
1.25.10.10.FF69381,1.25.10.10,FF69381
4.10.270.10.FF6538,4.10.270.10,FF6538
1.10.287.70.FF16867,1.10.287.70,FF16867
3.30.70.1390.FF1639,3.30.70.1390,FF1639
1.20.1440.80.FF715,1.20.1440.80,FF715
3.40.50.300.FF632810,3.40.50.300,FF632810
1.10.510.10.FF79342,1.10.510.10,FF79342
3.30.420.40.FF78180,3.30.420.40,FF78180
3.40.50.620.FF86425,3.40.50.620,FF86425
2.60.40.10.FF135844,2.60.40.10,FF135844
3.30.505.10.FF4228,3.30.505.10,FF4228
2.10.90.10.FF2857,2.10.90.10,FF2857
2.160.10.10.FF53985,2.160.10.10,FF53985
2.10.110.10.FF6171,2.10.110.10,FF6171
3.30.420.40.FF78860,3.30.420.40,FF78860
3.40.50.80.FF12659,3.40.50.80,FF12659
1.20.1560.10.FF26621,1.20.1560.10,FF26621
3.40.47.10.FF52651,3.40.47.10,FF52651
1.20.58.390.FF2648,1.20.58.390,FF2648
4.10.530.10.FF1617,4.10.530.10,FF1617
1.10.490.10.FF5159,1.10.490.10,FF5159
3.40.390.10.FF13228,3.40.390.10,FF13228
1.20.1070.10.FF45749,1.20.1070.10,FF45749
2.10.110.10.FF6189,2.10.110.10,FF6189
3.40.50.1000.FF57196,3.40.50.1000,FF57196
3.90.550.10.FF64295,3.90.550.10,FF64295
3.10.120.10.FF3879,3.10.120.10,FF3879
3.40.50.300.FF629730,3.40.50.300,FF629730
1.50.40.10.FF9447,1.50.40.10,FF9447
1.20.1070.10.FF45451,1.20.1070.10,FF45451
1.10.510.10.FF78537,1.10.510.10,FF78537
1.20.120.350.FF4260,1.20.120.350,FF4260
3.40.50.1780.FF2140,3.40.50.1780,FF2140
