Functional Family, Cluster, Starting Index, Length, Levenshtein Distance Similarity, K-mer Similarity, Further Comparison
3.50.50.60.FF112731, 3.50.50.60.FF112731/a, 0, 255, 60, 69, True
1.25.10.10.FF69180, 1.25.10.10.FF69180/a, 0, 255, 60, 69, True
1.25.10.10.FF69381, 1.25.10.10.FF69381/a, 0, 255, 60, 69, True
3.20.20.70.FF120938, 3.20.20.70.FF120938/a, 0, 255, 60, 67, True
1.20.120.350.FF4174, 1.20.120.350.FF4174/a, 96, 0, 24, 0, False
1.20.120.350.FF4194, 1.20.120.350.FF4194/a, 32, 0, 19, 0, False
1.20.120.350.FF4163, 1.20.120.350.FF4163/a, 84, 0, 17, 0, False
1.20.120.350.FF4170, 1.20.120.350.FF4170/a, 14, 0, 51, 0, False
1.20.120.350.FF4176, 1.20.120.350.FF4176/a, 49, 0, 22, 0, False
1.20.120.350.FF4198, 1.20.120.350.FF4198/a, 12, 0, 27, 0, False
1.20.120.350.FF4223, 1.20.120.350.FF4223/a, 29, 0, 23, 0, False
1.20.120.350.FF4224, 1.20.120.350.FF4224/a, 79, 0, 17, 0, False
1.20.120.350.FF4197, 1.20.120.350.FF4197/a, 0, 0, 22, 0, False
1.20.120.350.FF4225, 1.20.120.350.FF4225/a, 0, 0, 33, 0, False
1.20.120.350.FF4229, 1.20.120.350.FF4229/a, 86, 0, 33, 0, False
1.20.120.350.FF4230, 1.20.120.350.FF4230/a, 13, 0, 25, 0, False
1.20.120.350.FF4243, 1.20.120.350.FF4243/a, 109, 0, 18, 0, False
1.20.120.350.FF4251, 1.20.120.350.FF4251/a, 194, 0, 21, 0, False
1.20.120.350.FF4263, 1.20.120.350.FF4263/a, 74, 0, 32, 0, False
1.20.120.350.FF4257, 1.20.120.350.FF4257/a, 78, 0, 36, 0, False
1.20.120.350.FF4258, 1.20.120.350.FF4258/a, 154, 0, 23, 0, False
1.20.120.350.FF4260, 1.20.120.350.FF4260/a, 64, 0, 38, 0, False
1.20.120.350.FF74, 1.20.120.350.FF74/a, 145, 0, 22, 0, False
1.20.120.350.FF4259, 1.20.120.350.FF4259/a, 57, 0, 22, 0, False
1.20.120.350.FF429, 1.20.120.350.FF429/a, 144, 0, 17, 0, False
1.20.120.350.FF4293, 1.20.120.350.FF4293/a, 174, 0, 22, 0, False
1.20.120.350.FF4299, 1.20.120.350.FF4299/a, 82, 0, 18, 0, False
1.20.120.350.FF717, 1.20.120.350.FF717/a, 103, 0, 17, 0, False
1.20.120.350.FF4295, 1.20.120.350.FF4295/a, 43, 0, 34, 0, False
1.20.120.350.FF855, 1.20.120.350.FF855/a, 53, 0, 18, 0, False
1.20.120.360.FF14, 1.20.120.360.FF14/a, 4, 0, 19, 0, False
1.20.120.420.FF1430, 1.20.120.420.FF1430/a, 20, 0, 21, 0, False
1.20.120.420.FF1457, 1.20.120.420.FF1457/a, 134, 0, 21, 0, False
1.20.120.380.FF255, 1.20.120.380.FF255/a, 29, 0, 23, 0, False
1.20.120.430.FF2437, 1.20.120.430.FF2437/a, 46, 0, 17, 0, False
1.20.120.420.FF1453, 1.20.120.420.FF1453/a, 61, 0, 50, 0, False
1.20.120.430.FF4581, 1.20.120.430.FF4581/a, 5, 0, 19, 0, False
1.20.120.430.FF2601, 1.20.120.430.FF2601/a, 8, 0, 19, 0, False
1.20.120.430.FF4593, 1.20.120.430.FF4593/a, 64, 0, 20, 0, False
1.20.120.430.FF47, 1.20.120.430.FF47/a, 52, 0, 15, 0, False
1.20.120.430.FF7663, 1.20.120.430.FF7663/a, 28, 0, 18, 0, False
1.20.120.430.FF7704, 1.20.120.430.FF7704/a, 82, 0, 20, 0, False
1.20.120.430.FF7714, 1.20.120.430.FF7714/a, 4, 0, 20, 0, False
1.20.120.430.FF7706, 1.20.120.430.FF7706/a, 58, 0, 28, 0, False
1.20.120.430.FF7952, 1.20.120.430.FF7952/a, 85, 0, 40, 0, False
1.20.120.430.FF8144, 1.20.120.430.FF8144/a, 187, 0, 18, 0, False
1.20.120.430.FF8206, 1.20.120.430.FF8206/a, 99, 0, 21, 0, False
1.20.120.430.FF7720, 1.20.120.430.FF7720/a, 6, 0, 31, 0, False
1.20.120.430.FF8177, 1.20.120.430.FF8177/a, 81, 0, 19, 0, False
1.20.120.430.FF8154, 1.20.120.430.FF8154/a, 28, 0, 42, 0, False
1.20.120.430.FF8216, 1.20.120.430.FF8216/a, 113, 0, 22, 0, False
1.20.120.430.FF8225, 1.20.120.430.FF8225/a, 64, 0, 19, 0, False
1.20.120.430.FF8238, 1.20.120.430.FF8238/a, 85, 0, 25, 0, False
1.20.120.430.FF8252, 1.20.120.430.FF8252/a, 38, 0, 16, 0, False
1.20.120.450.FF1029, 1.20.120.450.FF1029/a, 14, 0, 17, 0, False
1.20.120.430.FF8226, 1.20.120.430.FF8226/a, 49, 0, 26, 0, False
1.20.120.450.FF1532, 1.20.120.450.FF1532/a, 43, 0, 18, 0, False
1.20.120.450.FF3524, 1.20.120.450.FF3524/a, 87, 0, 21, 0, False
1.20.120.450.FF2691, 1.20.120.450.FF2691/a, 82, 0, 21, 0, False
1.20.120.450.FF3674, 1.20.120.450.FF3674/a, 75, 0, 20, 0, False
1.20.120.450.FF5702, 1.20.120.450.FF5702/a, 47, 0, 20, 0, False
1.20.120.50.FF1053, 1.20.120.50.FF1053/a, 20, 0, 36, 0, False
1.20.120.520.FF10, 1.20.120.520.FF10/a, 8, 0, 18, 0, False
1.20.120.520.FF251, 1.20.120.520.FF251/a, 1, 0, 18, 0, False
1.20.120.450.FF5720, 1.20.120.450.FF5720/a, 89, 0, 19, 0, False
1.20.120.520.FF1312, 1.20.120.520.FF1312/a, 42, 0, 17, 0, False
1.20.120.520.FF2014, 1.20.120.520.FF2014/a, 73, 0, 17, 0, False
1.20.120.520.FF2027, 1.20.120.520.FF2027/a, 90, 0, 17, 0, False
1.20.5.110.FF289, 1.20.5.110.FF289/a, 87, 0, 18, 0, False
1.20.5.110.FF291, 1.20.5.110.FF291/a, 88, 0, 18, 0, False
1.20.5.110.FF3137, 1.20.5.110.FF3137/a, 170, 0, 20, 0, False
1.20.5.110.FF3139, 1.20.5.110.FF3139/a, 165, 0, 18, 0, False
1.20.5.110.FF3161, 1.20.5.110.FF3161/a, 99, 0, 18, 0, False
1.20.5.110.FF3187, 1.20.5.110.FF3187/a, 183, 0, 20, 0, False
1.20.5.110.FF3296, 1.20.5.110.FF3296/a, 105, 0, 22, 0, False
1.20.5.110.FF332, 1.20.5.110.FF332/a, 139, 0, 18, 0, False
1.20.5.110.FF3469, 1.20.5.110.FF3469/a, 196, 0, 22, 0, False
1.20.5.110.FF347, 1.20.5.110.FF347/a, 83, 0, 19, 0, False
1.20.5.110.FF3500, 1.20.5.110.FF3500/a, 81, 0, 21, 0, False
1.20.5.110.FF3654, 1.20.5.110.FF3654/a, 22, 0, 23, 0, False
1.20.5.110.FF3708, 1.20.5.110.FF3708/a, 74, 0, 21, 0, False
1.20.5.110.FF4632, 1.20.5.110.FF4632/a, 21, 0, 21, 0, False
1.20.5.110.FF4816, 1.20.5.110.FF4816/a, 141, 0, 18, 0, False
1.20.5.110.FF5037, 1.20.5.110.FF5037/a, 101, 0, 24, 0, False
1.20.5.110.FF1235, 1.20.5.110.FF1235/a, 153, 0, 20, 0, False
1.20.5.110.FF126, 1.20.5.110.FF126/a, 48, 0, 33, 0, False
1.20.5.110.FF1288, 1.20.5.110.FF1288/a, 1, 0, 20, 0, False
1.20.5.110.FF1458, 1.20.5.110.FF1458/a, 1, 0, 16, 0, False
1.20.5.110.FF150, 1.20.5.110.FF150/a, 42, 0, 24, 0, False
1.20.5.110.FF1682, 1.20.5.110.FF1682/a, 161, 0, 19, 0, False
1.20.5.110.FF1997, 1.20.5.110.FF1997/a, 99, 0, 24, 0, False
1.20.5.110.FF2101, 1.20.5.110.FF2101/a, 70, 0, 22, 0, False
1.20.5.110.FF2216, 1.20.5.110.FF2216/a, 178, 0, 18, 0, False
1.20.5.110.FF2234, 1.20.5.110.FF2234/a, 166, 0, 20, 0, False
1.20.5.110.FF2237, 1.20.5.110.FF2237/a, 62, 0, 20, 0, False
1.20.5.110.FF2260, 1.20.5.110.FF2260/a, 11, 0, 32, 0, False
1.20.5.110.FF236, 1.20.5.110.FF236/a, 74, 0, 19, 0, False
1.20.5.110.FF255, 1.20.5.110.FF255/a, 21, 0, 36, 0, False
1.20.5.110.FF2654, 1.20.5.110.FF2654/a, 40, 0, 16, 0, False
1.20.5.110.FF373, 1.20.5.110.FF373/a, 127, 0, 18, 0, False
1.20.5.110.FF3899, 1.20.5.110.FF3899/a, 96, 0, 18, 0, False
1.20.5.110.FF3903, 1.20.5.110.FF3903/a, 22, 0, 24, 0, False
1.20.5.110.FF3948, 1.20.5.110.FF3948/a, 91, 0, 20, 0, False
1.20.5.110.FF425, 1.20.5.110.FF425/a, 41, 0, 20, 0, False
1.20.5.110.FF4353, 1.20.5.110.FF4353/a, 45, 0, 21, 0, False
1.20.5.110.FF444, 1.20.5.110.FF444/a, 57, 0, 19, 0, False
1.20.5.110.FF5515, 1.20.5.110.FF5515/a, 37, 0, 18, 0, False
1.20.5.110.FF5519, 1.20.5.110.FF5519/a, 46, 0, 19, 0, False
1.20.5.110.FF5550, 1.20.5.110.FF5550/a, 79, 0, 19, 0, False
1.20.5.110.FF5048, 1.20.5.110.FF5048/a, 202, 0, 23, 0, False
1.20.5.110.FF5078, 1.20.5.110.FF5078/a, 149, 0, 26, 0, False
1.20.5.110.FF5504, 1.20.5.110.FF5504/a, 19, 0, 19, 0, False
1.20.5.110.FF5506, 1.20.5.110.FF5506/a, 20, 0, 19, 0, False
1.20.5.110.FF5511, 1.20.5.110.FF5511/a, 128, 0, 27, 0, False
1.20.5.110.FF5528, 1.20.5.110.FF5528/a, 100, 0, 22, 0, False
1.20.5.110.FF5536, 1.20.5.110.FF5536/a, 170, 0, 20, 0, False
1.20.5.110.FF5539, 1.20.5.110.FF5539/a, 171, 0, 18, 0, False
1.20.5.110.FF5548, 1.20.5.110.FF5548/a, 33, 0, 19, 0, False
1.20.5.110.FF5549, 1.20.5.110.FF5549/a, 50, 0, 26, 0, False
1.20.5.110.FF5555, 1.20.5.110.FF5555/a, 14, 0, 25, 0, False
1.20.5.110.FF5561, 1.20.5.110.FF5561/a, 190, 0, 23, 0, False
1.20.5.110.FF5568, 1.20.5.110.FF5568/a, 10, 0, 21, 0, False
1.20.5.110.FF5576, 1.20.5.110.FF5576/a, 39, 0, 22, 0, False
1.20.5.110.FF5593, 1.20.5.110.FF5593/a, 98, 0, 24, 0, False
1.20.5.110.FF5613, 1.20.5.110.FF5613/a, 74, 0, 24, 0, False
1.20.5.110.FF5614, 1.20.5.110.FF5614/a, 201, 0, 26, 0, False
1.20.5.110.FF5617, 1.20.5.110.FF5617/a, 22, 0, 22, 0, False
1.20.5.110.FF5618, 1.20.5.110.FF5618/a, 163, 0, 28, 0, False
1.20.5.110.FF5624, 1.20.5.110.FF5624/a, 48, 0, 34, 0, False
1.20.5.110.FF5580, 1.20.5.110.FF5580/a, 39, 0, 21, 0, False
1.20.5.110.FF5599, 1.20.5.110.FF5599/a, 16, 0, 16, 0, False
1.20.5.110.FF5600, 1.20.5.110.FF5600/a, 74, 0, 19, 0, False
1.20.5.110.FF5601, 1.20.5.110.FF5601/a, 85, 0, 22, 0, False
1.20.5.110.FF5621, 1.20.5.110.FF5621/a, 86, 0, 22, 0, False
1.20.5.110.FF5627, 1.20.5.110.FF5627/a, 180, 0, 20, 0, False
1.20.5.110.FF5628, 1.20.5.110.FF5628/a, 26, 0, 35, 0, False
1.20.5.110.FF5638, 1.20.5.110.FF5638/a, 62, 0, 26, 0, False
1.20.5.110.FF5656, 1.20.5.110.FF5656/a, 162, 0, 22, 0, False
1.20.5.110.FF5626, 1.20.5.110.FF5626/a, 0, 0, 41, 0, False
1.20.5.110.FF5669, 1.20.5.110.FF5669/a, 163, 0, 20, 0, False
1.20.5.110.FF5672, 1.20.5.110.FF5672/a, 57, 0, 27, 0, False
1.20.5.110.FF5677, 1.20.5.110.FF5677/a, 142, 0, 37, 0, False
1.20.5.110.FF5686, 1.20.5.110.FF5686/a, 16, 0, 21, 0, False
1.20.5.110.FF5689, 1.20.5.110.FF5689/a, 23, 0, 19, 0, False
1.20.5.50.FF14078, 1.20.5.50.FF14078/a, 2, 0, 19, 0, False
1.20.5.50.FF14080, 1.20.5.50.FF14080/a, 91, 0, 38, 0, False
1.20.5.110.FF5679, 1.20.5.110.FF5679/a, 178, 0, 36, 0, False
1.20.5.110.FF5692, 1.20.5.110.FF5692/a, 90, 0, 30, 0, False
1.20.5.110.FF5708, 1.20.5.110.FF5708/a, 172, 0, 21, 0, False
1.20.5.110.FF5709, 1.20.5.110.FF5709/a, 0, 0, 23, 0, False
1.20.5.110.FF5715, 1.20.5.110.FF5715/a, 106, 0, 36, 0, False
1.20.5.110.FF5743, 1.20.5.110.FF5743/a, 150, 0, 33, 0, False
1.20.5.110.FF5744, 1.20.5.110.FF5744/a, 71, 0, 28, 0, False
1.20.5.110.FF5752, 1.20.5.110.FF5752/a, 31, 0, 34, 0, False
1.20.5.110.FF5775, 1.20.5.110.FF5775/a, 38, 0, 42, 0, False
1.20.5.110.FF5779, 1.20.5.110.FF5779/a, 14, 0, 28, 0, False
1.20.5.110.FF5784, 1.20.5.110.FF5784/a, 122, 0, 22, 0, False
1.20.5.110.FF5791, 1.20.5.110.FF5791/a, 68, 0, 26, 0, False
1.20.5.110.FF589, 1.20.5.110.FF589/a, 137, 0, 19, 0, False
1.20.5.110.FF625, 1.20.5.110.FF625/a, 85, 0, 18, 0, False
1.20.5.110.FF701, 1.20.5.110.FF701/a, 87, 0, 18, 0, False
1.20.5.110.FF92, 1.20.5.110.FF92/a, 99, 0, 21, 0, False
1.20.5.110.FF972, 1.20.5.110.FF972/a, 24, 0, 17, 0, False
1.20.5.110.FF99, 1.20.5.110.FF99/a, 94, 0, 17, 0, False
1.20.5.1120.FF11, 1.20.5.1120.FF11/a, 119, 0, 23, 0, False
1.20.5.1130.FF4, 1.20.5.1130.FF4/a, 178, 0, 20, 0, False
1.20.5.110.FF5796, 1.20.5.110.FF5796/a, 86, 0, 42, 0, False
1.20.5.110.FF827, 1.20.5.110.FF827/a, 32, 0, 18, 0, False
1.20.5.1130.FF6, 1.20.5.1130.FF6/a, 188, 0, 19, 0, False
1.20.5.1150.FF754, 1.20.5.1150.FF754/a, 92, 0, 47, 0, False
1.20.5.1160.FF1, 1.20.5.1160.FF1/a, 15, 0, 24, 0, False
1.20.5.1160.FF46, 1.20.5.1160.FF46/a, 196, 0, 28, 0, False
1.20.5.1160.FF6, 1.20.5.1160.FF6/a, 154, 0, 30, 0, False
1.20.5.1180.FF54, 1.20.5.1180.FF54/a, 138, 0, 25, 0, False
1.20.5.1180.FF56, 1.20.5.1180.FF56/a, 0, 0, 26, 0, False
1.20.5.1180.FF60, 1.20.5.1180.FF60/a, 10, 0, 21, 0, False
1.20.5.1190.FF2, 1.20.5.1190.FF2/a, 74, 0, 27, 0, False
1.20.5.1230.FF153, 1.20.5.1230.FF153/a, 0, 0, 18, 0, False
1.20.5.1230.FF2223, 1.20.5.1230.FF2223/a, 40, 0, 18, 0, False
1.20.5.1230.FF2239, 1.20.5.1230.FF2239/a, 74, 0, 20, 0, False
1.20.5.1230.FF3684, 1.20.5.1230.FF3684/a, 30, 0, 19, 0, False
1.20.5.1230.FF3759, 1.20.5.1230.FF3759/a, 14, 0, 21, 0, False
1.20.5.1230.FF4158, 1.20.5.1230.FF4158/a, 123, 0, 20, 0, False
1.20.5.1230.FF4684, 1.20.5.1230.FF4684/a, 14, 0, 23, 0, False
1.20.5.1230.FF6105, 1.20.5.1230.FF6105/a, 14, 0, 18, 0, False
1.20.5.1190.FF28, 1.20.5.1190.FF28/a, 26, 0, 27, 0, False
1.20.5.120.FF138, 1.20.5.120.FF138/a, 166, 0, 23, 0, False
1.20.5.120.FF143, 1.20.5.120.FF143/a, 149, 0, 25, 0, False
1.20.5.1200.FF69, 1.20.5.1200.FF69/a, 135, 0, 29, 0, False
1.20.5.1230.FF1000, 1.20.5.1230.FF1000/a, 42, 0, 20, 0, False
1.20.5.1230.FF6111, 1.20.5.1230.FF6111/a, 16, 0, 19, 0, False
1.20.5.1230.FF6115, 1.20.5.1230.FF6115/a, 24, 0, 44, 0, False
1.20.5.1230.FF6130, 1.20.5.1230.FF6130/a, 59, 0, 18, 0, False
1.20.5.1230.FF6132, 1.20.5.1230.FF6132/a, 70, 0, 16, 0, False
1.20.5.170.FF10303, 1.20.5.170.FF10303/a, 186, 0, 21, 0, False
1.20.5.170.FF10667, 1.20.5.170.FF10667/a, 0, 0, 25, 0, False
1.20.58.60.FF16155, 1.20.58.60.FF16155/a, 99, 0, 31, 0, False
1.20.58.60.FF16161, 1.20.58.60.FF16161/a, 145, 0, 23, 0, False
1.20.58.60.FF16162, 1.20.58.60.FF16162/a, 17, 0, 21, 0, False
1.20.58.60.FF16163, 1.20.58.60.FF16163/a, 149, 0, 22, 0, False
1.20.58.60.FF16175, 1.20.58.60.FF16175/a, 13, 0, 28, 0, False
1.20.58.60.FF16176, 1.20.58.60.FF16176/a, 4, 0, 21, 0, False
1.20.58.60.FF16169, 1.20.58.60.FF16169/a, 133, 0, 20, 0, False
1.20.58.60.FF16168, 1.20.58.60.FF16168/a, 61, 0, 23, 0, False
1.20.58.60.FF16173, 1.20.58.60.FF16173/a, 169, 0, 40, 0, False
1.20.58.60.FF16188, 1.20.58.60.FF16188/a, 67, 0, 22, 0, False
1.20.58.60.FF16193, 1.20.58.60.FF16193/a, 17, 0, 19, 0, False
1.20.58.60.FF16174, 1.20.58.60.FF16174/a, 119, 0, 21, 0, False
1.20.58.60.FF16179, 1.20.58.60.FF16179/a, 135, 0, 20, 0, False
