Type, Details, Information
6, Error While Computing Multiple Sequence Alignment, Functional Family - 1.10.10.10.FF266362

4, Illegal Protein Alphabet Character, Sequence ID - fc7e03bba9f3855d59575ec1832b49fd

4, Illegal Protein Alphabet Character, Sequence ID - 6b0d69429b7d4529fa42d5af198f6c98

6, Error While Computing Multiple Sequence Alignment, Functional Family - 1.20.1070.10.FF45522

6, Error While Computing Multiple Sequence Alignment, Functional Family - 2.170.150.20.FF2515

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.20.20.100.FF14931

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.20.20.460.FF27

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.20.20.70.FF118790

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.30.1330.10.FF7254

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.40.228.10.FF5789

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.40.30.10.FF3495

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.40.30.10.FF79122

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.40.30.10.FF79626

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.40.30.10.FF79735

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.40.30.10.FF79754

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.40.30.10.FF79829

4, Illegal Protein Alphabet Character, Sequence ID - 3fc244b4e100ce8e9c2f1245cd71866e

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.40.50.2300.FF67535

4, Illegal Protein Alphabet Character, Sequence ID - 3fc244b4e100ce8e9c2f1245cd71866e

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.40.50.740.FF11886

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.40.50.740.FF11890

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.40.50.740.FF11941

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.40.50.740.FF8992

6, Error While Computing Multiple Sequence Alignment, Functional Family - 3.50.50.60.FF113089

